,Stock_name,date,close,high,low,open,volume
0,SQUAREPHARMA,2015-05-27 00:00:00+00:00,132.045,132.26,130.05,130.34,45833246
1,SQUAREPHARMA,2015-05-28 00:00:00+00:00,131.78,131.95,131.1,131.86,30733309
2,SQUAREPHARMA,2015-05-29 00:00:00+00:00,130.28,131.45,129.9,131.23,50884452
3,SQUAREPHARMA,2015-06-01 00:00:00+00:00,130.535,131.39,130.05,131.2,32112797
4,SQUAREPHARMA,2015-06-02 00:00:00+00:00,129.96,130.655,129.32,129.86,33667627
5,SQUAREPHARMA,2015-06-03 00:00:00+00:00,130.12,130.94,129.9,130.66,30983542
6,SQUAREPHARMA,2015-06-04 00:00:00+00:00,129.36,130.58,128.91,129.58,38450118
7,SQUAREPHARMA,2015-06-05 00:00:00+00:00,128.65,129.69,128.36,129.5,35626800
8,SQUAREPHARMA,2015-06-08 00:00:00+00:00,127.8,129.21,126.83,128.9,52674786
9,SQUAREPHARMA,2015-06-09 00:00:00+00:00,127.42,128.08,125.62,126.7,56075420
10,SQUAREPHARMA,2015-06-10 00:00:00+00:00,128.88,129.34,127.85,127.92,39087250
11,SQUAREPHARMA,2015-06-11 00:00:00+00:00,128.59,130.18,128.475,129.18,35390887
12,SQUAREPHARMA,2015-06-12 00:00:00+00:00,127.17,128.33,127.11,128.185,36886246
13,SQUAREPHARMA,2015-06-15 00:00:00+00:00,126.92,127.24,125.71,126.1,43988946
14,SQUAREPHARMA,2015-06-16 00:00:00+00:00,127.6,127.85,126.37,127.03,31494131
15,SQUAREPHARMA,2015-06-17 00:00:00+00:00,127.3,127.88,126.74,127.72,32918071
16,SQUAREPHARMA,2015-06-18 00:00:00+00:00,127.88,128.31,127.22,127.23,35407220
17,SQUAREPHARMA,2015-06-19 00:00:00+00:00,126.6,127.82,126.4,127.71,54716887
18,SQUAREPHARMA,2015-06-22 00:00:00+00:00,127.61,128.06,127.08,127.49,34039345
19,SQUAREPHARMA,2015-06-23 00:00:00+00:00,127.03,127.61,126.8792,127.48,30268863
20,SQUAREPHARMA,2015-06-24 00:00:00+00:00,128.11,129.8,127.12,127.21,55280855
21,SQUAREPHARMA,2015-06-25 00:00:00+00:00,127.5,129.2,127.5,128.86,31938100
22,SQUAREPHARMA,2015-06-26 00:00:00+00:00,126.75,127.99,126.51,127.67,44066841
23,SQUAREPHARMA,2015-06-29 00:00:00+00:00,124.53,126.47,124.48,125.46,49161427
24,SQUAREPHARMA,2015-06-30 00:00:00+00:00,125.425,126.12,124.86,125.57,44370682
25,SQUAREPHARMA,2015-07-01 00:00:00+00:00,126.6,126.94,125.99,126.9,30238811
26,SQUAREPHARMA,2015-07-02 00:00:00+00:00,126.44,126.69,125.77,126.43,27210952
27,SQUAREPHARMA,2015-07-06 00:00:00+00:00,126,126.23,124.85,124.94,28060431
28,SQUAREPHARMA,2015-07-07 00:00:00+00:00,125.69,126.15,123.77,125.89,46946811
29,SQUAREPHARMA,2015-07-08 00:00:00+00:00,122.57,124.64,122.54,124.48,60761614
30,SQUAREPHARMA,2015-07-09 00:00:00+00:00,120.07,124.06,119.22,123.85,78595038
31,SQUAREPHARMA,2015-07-10 00:00:00+00:00,123.28,123.85,121.21,121.94,61354474
32,SQUAREPHARMA,2015-07-13 00:00:00+00:00,125.66,125.755,124.32,125.03,41440538
33,SQUAREPHARMA,2015-07-14 00:00:00+00:00,125.61,126.37,125.04,126.04,31768139
34,SQUAREPHARMA,2015-07-15 00:00:00+00:00,126.82,127.15,125.58,125.72,33649200
35,SQUAREPHARMA,2015-07-16 00:00:00+00:00,128.51,128.57,127.35,127.74,36222447
36,SQUAREPHARMA,2015-07-17 00:00:00+00:00,129.62,129.62,128.31,129.08,46164710
37,SQUAREPHARMA,2015-07-20 00:00:00+00:00,132.07,132.97,130.7,130.97,58900203
38,SQUAREPHARMA,2015-07-21 00:00:00+00:00,130.75,132.92,130.32,132.85,76756427
39,SQUAREPHARMA,2015-07-22 00:00:00+00:00,125.22,125.5,121.99,121.99,115450607
40,SQUAREPHARMA,2015-07-23 00:00:00+00:00,125.16,127.09,125.06,126.2,50999452
41,SQUAREPHARMA,2015-07-24 00:00:00+00:00,124.5,125.74,123.9,125.32,42162332
42,SQUAREPHARMA,2015-07-27 00:00:00+00:00,122.77,123.61,122.12,123.09,44455540
43,SQUAREPHARMA,2015-07-28 00:00:00+00:00,123.38,123.91,122.55,123.38,33618097
44,SQUAREPHARMA,2015-07-29 00:00:00+00:00,122.99,123.5,122.27,123.15,37011653
45,SQUAREPHARMA,2015-07-30 00:00:00+00:00,122.37,122.5699,121.71,122.32,33628268
46,SQUAREPHARMA,2015-07-31 00:00:00+00:00,121.3,122.6425,120.91,122.6,42884953
47,SQUAREPHARMA,2015-08-03 00:00:00+00:00,118.44,122.57,117.52,121.5,69975968
48,SQUAREPHARMA,2015-08-04 00:00:00+00:00,114.64,117.7,113.25,117.42,124138623
49,SQUAREPHARMA,2015-08-05 00:00:00+00:00,115.4,117.44,112.1,112.95,98384461
50,SQUAREPHARMA,2015-08-06 00:00:00+00:00,115.13,116.5,114.115,115.97,52903040
51,SQUAREPHARMA,2015-08-07 00:00:00+00:00,115.52,116.25,114.5,114.58,38670405
52,SQUAREPHARMA,2015-08-10 00:00:00+00:00,119.72,119.99,116.53,116.53,54951597
53,SQUAREPHARMA,2015-08-11 00:00:00+00:00,113.49,118.18,113.33,117.81,97082814
54,SQUAREPHARMA,2015-08-12 00:00:00+00:00,115.24,115.42,109.63,112.53,101685610
55,SQUAREPHARMA,2015-08-13 00:00:00+00:00,115.15,116.4,114.54,116.04,48535789
